,store name,rating,price,r1,r2,r3,,
0,mayamiko,5,$$,LOCAL EUROPEAN,SKFK,Carlie Ballard,,
1,mighty-good-basics,5,$$,Pico,BUSHY,Bhumi,,
2,left-edit,5,$$,Study NY,GRAMMAR,RIANNA + NINA,,
3,reflect-studio,5,$$,ADAY,GROUNDTRUTH,Nisa,,
4,girlfriend-collective,5,$$,LA Relaxed,Yes And,Bhumi,,
5,thokkthokk,4,$$,Jackalo,THE M|N|ML,Pamut,,
6,la-relaxed,4,$$,Girlfriend Collective,Yes And,Bhumi,,
7,organic-crew,4,$$,Boob,Twofold Clothing,Nisa,,
8,luna-sun,4,$$,Spell,Natalie Perry,Savannah Morrow The Label,,
9,birdsong,4,$$,tonlé,Osei-duro,Beaumont Organic,,
10,aiayu,4,$$,Two Days Off,A.BCH,ReCreate,,
11,whimsy-and-row,4,$$,LANIUS,Amour Vert,Indigenous,,
12,panaashe-organics,4,$$,Millers,Crossroads,0,,
13,purusha-people,4,$$,SEEKER,Indego Africa,Outerknown,,
14,sundried,4,$$,The Green Wave,Howies,go as u.r,,
15,eyd,4,$$,Noani,BAYTHE,Dawn Denim,,
16,orenda-tribe,4,$$,Studio 189,Original Weekend,Antonello Tedde,,
17,luva-huva,4,$$,Girlfriend Collective,Left Edit,LA Relaxed,,
18,picture,4,$$,WAWWA,SUCO,The Green Wave,,
19,beaumont-organic,4,$$,Carlie Ballard,Know The Origin,Lois Hazel,,
20,osei-duro,4,$$,Birdsong,Fair Indigo,tonlé,,
21,baythe,4,$$,Stay Wild,Sage Larock,Conscious Swimwear,,
22,ella-fashion,4,$$$,Prairie Underground,E.L.V. Denim,Norlha,,
23,boody,4,$,Honest Basics,Saint Basics,Krochet Kids,,
24,afends,4,$$,Kings of Indigo,WIILDS,Toad&Co,,
25,the-fable,3,$$,Study NY,GRAMMAR,Miakoda,,
26,the-north-face,3,$$,Jackalo,Make An Impact,KENT,,
27,just-my-size,3,$,Ayten Gasson,Proclaim,WAMA,,
28,beaton,3,$$,Jackalo,nativ basics,Woron,,
29,aymara-textiles,3,$$,Antonello Tedde,STORY mfg.,Florence Given,,
30,devina-louise,3,$$,Label By Three,Beaumont Organic,Kordal Studio,,
31,izzy-lane,3,$$,Fair Indigo,LANIUS,Infantium Victoria,,
32,base-bodywear,3,$$,Jackalo,nativ basics,Woron,,
33,dickies,3,$,Niovi Organics,THEA WITH LOVE,Marks & Spencer,,
34,lost-and-found,3,$$$,Greg Lauren,EllA Fashion,Prairie Underground,,
35,pier-one,3,$,Howies,WE Fashion,Apolis,,
36,kitx,3,$$,Spell,Natalie Perry,Luna + Sun,,
37,prana,3,$$,Greenfibres,unspun,Infantium Victoria,,
38,awave-awake,3,$$,Know The Origin,Woron,Organic Basics,,
39,halogen,2,$$,L'Envers,Olderbrother,Nisa,,
40,marine-layer,3,$$,Elle Evans,Fabrik,Two Days Off,,
41,crossroads,3,$,Panaashe Organics,Millers,0,,
42,champion,2,$$,Kings of Indigo,Afends,Toad&Co,,
43,satisfy,2,$$,Styland,Natasha Tonic,Nudie Jeans,,
44,tahlo,2,$$,Untouched World,TWOTHIRDS,Woron,,
45,lands-end,2,$$,Jyoti - Fair Works,Birdsong,Oliberté,,
46,toga,2,$$,Studio 189,The Rushing Hour,RAFA,,
47,wood-wood,2,$$,MANDALA,BAY Active,Bhumi,,
48,joslin,2,$$,Left Edit,The Ethical Silk Company,Marcia,,
49,cotton-on-body,2,$,Parade,Boody,Pitupi,,
50,lautre-chose,2,$$$,One Vintage,Martina Spetlova,J. Hannah,,
51,only,2,$$,nae,LANIUS,Amour Vert,,
52,lauren,2,$$,Elle Evans,O My Bag,ekn footwear,,
53,maison-123,2,$$,Lois Hazel,CARIUMA,studio JUX,,
54,matalan,2,$,Monkee Genes,Purnama,Liminal,,
55,mark-cross,2,$$$,Pye Shirts,WWAKE,Mashu,,
56,haney,2,$$$,Vieri,Chopova Lowena,Shola Branson,,
57,sara-battaglia,2,$$$,LAUDAE,Stella McCartney,Martina Spetlova,,
58,no-ka-oi,2,$$,HoMie,Florence Given,Sami Miro Vintage,,
59,ruby,2,$$,P. J. Salvage,WE-AR,Monsoon Blooms,,
60,wrangler,2,$$,Osei-duro,Birdsong,Carlie Ballard,,
61,we-are-kindred,2,$$,Spell,Natalie Perry,Luna + Sun,,
62,camilla-and-marc,2,$$,Arnsdorf,Natascha Von Hirschhausen,Nudie Jeans,,
63,desigual,2,$$,Jackalo,THE M|N|ML,Pamut,,
64,tutu-du-monde,2,$$,LOCAL EUROPEAN,Pure Pod,Hopaal,,
65,aubade,2,$$,Ayten Gasson,Miakoda,ColieCo,,
66,7-for-all-mankind,2,$$,Natascha Von Hirschhausen,AERA,Nudie Jeans,,
67,loft,2,$$,Annie Hamilton,Boma,LaBante,,
68,decjuba,2,$$,SUSI Studio,Know The Origin,Kings of Indigo,,
69,scotch-and-soda,2,$$,LaBante,Nobody Denim,Dawn Denim,,
70,amazon,2,$,Saint Basics,Marks & Spencer,Honest Basics,,
71,urban-outfitters,2,$,CHNGE,éclipse,Honest Basics,,
72,minimum,2,$$$,Pye Shirts,Mme A-S Davik,Olmsted Outerwear,,
73,ryan-roche,2,$$$,Olmsted Outerwear,Meadowlark,Martina Spetlova,,
74,delpozo,1,$$$,J. Hannah,LAUDAE,Stella McCartney,,
75,river-island,1,$$,Magpie Goose,Dominique Healy,Kuwaii,,
76,lonely-lingerie,2,$$,WAWWA,DEADWOOD,WE-AR,,
77,paul-smith,2,$$,AERA,Chelsea Bravo,Nudie Jeans,,
78,christian-louboutin,1,$$$,Stella McCartney,Stephen Webster,Mashu,,
79,stella-jean,2,$$$,Stella McCartney,Stephen Webster,Mashu,,
80,macys,1,$$,LANIUS,Veja,Kings of Indigo,,
81,framed,2,$$$,LAUDAE,Stella McCartney,Martina Spetlova,,
82,sacai,1,$$$,Bleue Burnham,Zilver,Orit Elhanati,,
83,undercover,2,$$$,Greg Lauren,Bethany Williams,laCalifornienne,,
84,myla,2,$$,Annie Hamilton,Boma,LaBante,,
85,unif,2,$$,Kings of Indigo,Les Recuperables,zero waste daniel,,
86,rotate,2,$$$,LAUDAE,Cloe Cassandro,Dorsu,,
87,gelareh-mizrahi,2,$$$,O My Bag,Funky Kalakar,GUNAS,,
88,perfect-moment,2,$$,Chelsea Bravo,Groceries Apparel,Nube,,
89,opening-ceremony,1,$$,Sami Miro Vintage,HoMie,Studio 189,,
90,aspesi,2,$$,Elle Evans,Eileen Fisher,Two Days Off,,
91,the-upside,2,$$,ColieCo,Kalaurie,BUSHY,,
92,yamamay,1,$,Monsoon Blooms,WAMA,Proclaim,,
93,isabel-marant,1,$$$,Pye Shirts,Bario Neal,Teatum Jones,,
94,revolve,1,$,CHNGE,Quazi Design,Monkee Genes,,
95,honey-punch,1,$$,Toad&Co,Loomstate,Unrobe,,
96,in-the-style,1,$,Monkee Genes,Purnama,Liminal,,
97,bensimon,1,$$,Toad&Co,OhSevenDays,Oliberté,,
98,slowear,1,$$$,Pye Shirts,WWAKE,Mashu,,
99,lee-cooper,1,$$,Jackalo,THE M|N|ML,Pamut,,
100,forever-21,1,$,Saint Basics,Marks & Spencer,Honest Basics,,
101,honest-basics,5,$,Boody,Saint Basics,Krochet Kids,,